Negative offset of 08-1546 (time: 5:36, m?: true) (scrape: 130, official: 118): -12
Positive offset of 08-0445 (time: 5:58, m?: false) (scrape: 149, official: 187): 38
Positive offset of 08-1793 (time: 5:49, m?: false) (scrape: 92, official: 157): 65
Positive offset of 08-3138 (time: 2:31, m?: false) (scrape: 56, official: 64): 8
Positive offset of 08-0794 (time: 6:02, m?: false) (scrape: 163, official: 171): 8
Positive offset of 08-1613 (time: 5:57, m?: false) (scrape: 146, official: 154): 8
Positive offset of 08-1742 (time: 5:56, m?: false) (scrape: 147, official: 155): 8
Positive offset of 08-2070 (time: 5:56, m?: false) (scrape: 144, official: 152): 8
Positive offset of 08-2000 (time: 5:25, m?: false) (scrape: 119, official: 127): 8
Positive offset of 08-2002 (time: 5:29, m?: false) (scrape: 119, official: 127): 8
Positive offset of 08-1003 (time: 5:55, m?: false) (scrape: 140, official: 148): 8
Positive offset of 08-2117 (time: 5:25, m?: false) (scrape: 135, official: 143): 8
Positive offset of 08-2170 (time: 4:58, m?: false) (scrape: 125, official: 133): 8
Positive offset of 08-0500 (time: 5:39, m?: false) (scrape: 155, official: 163): 8
Positive offset of 08-0287 (time: 6:00, m?: false) (scrape: 24, official: 32): 8
Positive offset of 08-3122 (time: 6:07, m?: false) (scrape: 155, official: 163): 8
Positive offset of 08-0442 (time: 5:00, m?: false) (scrape: 171, official: 179): 8
Positive offset of 08-2761 (time: 5:32, m?: false) (scrape: 102, official: 110): 8
Positive offset of 08-0524 (time: 5:57, m?: false) (scrape: 134, official: 142): 8
Positive offset of 08-3421 (time: 5:39, m?: false) (scrape: 128, official: 136): 8
Positive offset of 08-1823 (time: 4:15, m?: false) (scrape: 153, official: 161): 8
Positive offset of 08-2754 (time: 4:37, m?: false) (scrape: 111, official: 119): 8
Positive offset of 08-1750 (time: 4:54, m?: false) (scrape: 98, official: 106): 8
Positive offset of 08-0441 (time: 5:42, m?: false) (scrape: 177, official: 185): 8
Positive offset of 08-2558 (time: 5:48, m?: false) (scrape: 52, official: 60): 8
Positive offset of 08-1198 (time: 5:51, m?: false) (scrape: 103, official: 111): 8
Positive offset of 08-2284 (time: 4:16, m?: false) (scrape: 90, official: 103): 13
Positive offset of 08-0528 (time: 4:46, m?: false) (scrape: 148, official: 156): 8
Positive offset of 08-1430 (time: 2:27, m?: false) (scrape: 92, official: 100): 8
Positive offset of 08-1845 (time: 4:13, m?: false) (scrape: 109, official: 117): 8
Positive offset of 08-0219 (time: 6:03, m?: false) (scrape: 155, official: 163): 8
Positive offset of 08-2177 (time: 4:37, m?: false) (scrape: 98, official: 106): 8
Positive offset of 08-0380 (time: 5:57, m?: false) (scrape: 85, official: 93): 8
Positive offset of 08-2300 (time: 3:41, m?: false) (scrape: 98, official: 106): 8
Positive offset of 08-1765 (time: 4:32, m?: false) (scrape: 111, official: 119): 8
Positive offset of 08-0675 (time: 5:33, m?: false) (scrape: 133, official: 141): 8
Positive offset of 08-0935 (time: 3:57, m?: false) (scrape: 99, official: 107): 8
Positive offset of 08-2296 (time: 4:35, m?: false) (scrape: 82, official: 90): 8
Positive offset of 08-3330 (time: 5:51, m?: false) (scrape: 90, official: 98): 8
Positive offset of 08-0229 (time: 4:31, m?: false) (scrape: 113, official: 121): 8
Positive offset of 08-2297 (time: 4:18, m?: false) (scrape: 80, official: 88): 8
Positive offset of 08-2281 (time: 4:58, m?: false) (scrape: 110, official: 118): 8
Positive offset of 08-2280 (time: 5:05, m?: false) (scrape: 153, official: 161): 8
Positive offset of 08-0230 (time: 4:24, m?: false) (scrape: 115, official: 123): 8
Positive offset of 08-0228 (time: 4:22, m?: false) (scrape: 87, official: 95): 8
Positive offset of 08-2838 (time: 5:36, m?: false) (scrape: 106, official: 114): 8
Positive offset of 08-2836 (time: 5:23, m?: false) (scrape: 63, official: 71): 8
Positive offset of 08-1336 (time: 2:46, m?: false) (scrape: 93, official: 101): 8
Positive offset of 08-2255 (time: 5:59, m?: false) (scrape: 159, official: 167): 8
Positive offset of 08-2408 (time: 5:55, m?: false) (scrape: 137, official: 145): 8
Positive offset of 08-1381 (time: 5:59, m?: false) (scrape: 114, official: 122): 8
Positive offset of 08-2983 (time: 2:21, m?: false) (scrape: 93, official: 101): 8
Positive offset of 08-1476 (time: 5:31, m?: false) (scrape: 85, official: 93): 8
Positive offset of 08-2409 (time: 5:44, m?: false) (scrape: 145, official: 153): 8
Positive offset of 08-2137 (time: 5:09, m?: false) (scrape: 105, official: 113): 8
Positive offset of 08-0998 (time: 5:15, m?: false) (scrape: 98, official: 106): 8
Positive offset of 08-2657 (time: 4:26, m?: false) (scrape: 83, official: 91): 8
Positive offset of 08-0460 (time: 6:49, m?: false) (scrape: 84, official: 87): 3
Positive offset of 08-0356 (time: 5:16, m?: false) (scrape: 79, official: 87): 8
Positive offset of 08-1465 (time: 5:16, m?: false) (scrape: 142, official: 150): 8
Positive offset of 08-0459 (time: 6:03, m?: false) (scrape: 117, official: 125): 8
Positive offset of 08-1477 (time: 5:08, m?: false) (scrape: 52, official: 60): 8
Positive offset of 08-0575 (time: 5:47, m?: false) (scrape: 173, official: 181): 8
Positive offset of 08-0580 (time: 5:46, m?: false) (scrape: 162, official: 170): 8
Positive offset of 08-0436 (time: 5:59, m?: false) (scrape: 186, official: 194): 8
Positive offset of 08-2535 (time: 5:36, m?: false) (scrape: 129, official: 137): 8
Positive offset of 08-3243 (time: 25:18, m?: false) (scrape: 149, official: 157): 8
Positive offset of 08-1677 (time: 3:39, m?: false) (scrape: 133, official: 141): 8
Positive offset of 08-1676 (time: 3:43, m?: false) (scrape: 141, official: 149): 8
Positive offset of 08-0434 (time: 4:53, m?: false) (scrape: 186, official: 194): 8
Positive offset of 08-1567 (time: 6:01, m?: false) (scrape: 108, official: 116): 8
Positive offset of 08-2947 (time: 3:03, m?: false) (scrape: 93, official: 101): 8
Positive offset of 08-2924 (time: 5:55, m?: false) (scrape: 152, official: 160): 8
Positive offset of 08-3390 (time: 1:48, m?: false) (scrape: 68, official: 76): 8
Positive offset of 08-2373 (time: 8:00, m?: false) (scrape: 0, official: 8): 8
