2018-07-31 00:30:47 install libpam-modules-bin:amd64 <none> 1.1.8-3.2ubuntu2
2018-07-31 00:30:47 status half-installed libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2018-07-31 00:30:47 status unpacked libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2018-07-31 00:30:47 status unpacked libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2018-07-31 00:30:47 install libpam-runtime:all <none> 1.1.8-3.2ubuntu2
2018-07-31 00:30:47 status half-installed libpam-runtime:all 1.1.8-3.2ubuntu2
2018-07-31 00:30:47 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2018-07-31 00:30:47 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2018-07-31 00:30:47 install libpam0g:amd64 <none> 1.1.8-3.2ubuntu2
2018-07-31 00:30:47 status half-installed libpam0g:amd64 1.1.8-3.2ubuntu2
2018-07-31 00:30:47 status unpacked libpam0g:amd64 1.1.8-3.2ubuntu2
2018-07-31 00:30:47 status unpacked libpam0g:amd64 1.1.8-3.2ubuntu2
2018-07-31 00:30:47 install libpcre3:amd64 <none> 2:8.38-3.1
2018-07-31 00:30:47 status half-installed libpcre3:amd64 2:8.38-3.1
2018-07-31 00:30:47 status unpacked libpcre3:amd64 2:8.38-3.1
2018-07-31 00:30:47 status unpacked libpcre3:amd64 2:8.38-3.1
2018-07-31 00:30:47 install libprocps4:amd64 <none> 2:3.3.10-4ubuntu2
2018-07-31 00:30:47 status half-installed libprocps4:amd64 2:3.3.10-4ubuntu2
2018-07-31 00:30:47 status unpacked libprocps4:amd64 2:3.3.10-4ubuntu2
2018-07-31 00:30:47 status unpacked libprocps4:amd64 2:3.3.10-4ubuntu2
2018-07-31 00:30:47 install libseccomp2:amd64 <none> 2.2.3-3ubuntu3
2018-07-31 00:30:47 status half-installed libseccomp2:amd64 2.2.3-3ubuntu3
2018-07-31 00:30:47 status unpacked libseccomp2:amd64 2.2.3-3ubuntu3
2018-07-31 00:30:47 status unpacked libseccomp2:amd64 2.2.3-3ubuntu3
2018-07-31 00:30:47 install libselinux1:amd64 <none> 2.4-3build2
2018-07-31 00:30:47 status half-installed libselinux1:amd64 2.4-3build2
2018-07-31 00:30:47 status unpacked libselinux1:amd64 2.4-3build2
2018-07-31 00:30:47 status unpacked libselinux1:amd64 2.4-3build2
2018-07-31 00:30:47 install libsemanage-common:all <none> 2.3-1build3
2018-07-31 00:30:47 status half-installed libsemanage-common:all 2.3-1build3
2018-07-31 00:30:47 status unpacked libsemanage-common:all 2.3-1build3
2018-07-31 00:30:47 status unpacked libsemanage-common:all 2.3-1build3
2018-07-31 00:30:47 install libsemanage1:amd64 <none> 2.3-1build3
2018-07-31 00:30:47 status half-installed libsemanage1:amd64 2.3-1build3
2018-07-31 00:30:47 status unpacked libsemanage1:amd64 2.3-1build3
2018-07-31 00:30:47 status unpacked libsemanage1:amd64 2.3-1build3
2018-07-31 00:30:47 install libsepol1:amd64 <none> 2.4-2
2018-07-31 00:30:47 status half-installed libsepol1:amd64 2.4-2
2018-07-31 00:30:47 status unpacked libsepol1:amd64 2.4-2
2018-07-31 00:30:47 status unpacked libsepol1:amd64 2.4-2
2018-07-31 00:30:47 install libsmartcols1:amd64 <none> 2.27.1-6ubuntu3
2018-07-31 00:30:47 status half-installed libsmartcols1:amd64 2.27.1-6ubuntu3
2018-07-31 00:30:47 status unpacked libsmartcols1:amd64 2.27.1-6ubuntu3
2018-07-31 00:30:47 status unpacked libsmartcols1:amd64 2.27.1-6ubuntu3
2018-07-31 00:30:48 install libss2:amd64 <none> 1.42.13-1ubuntu1
2018-07-31 00:30:48 status half-installed libss2:amd64 1.42.13-1ubuntu1
2018-07-31 00:30:48 status unpacked libss2:amd64 1.42.13-1ubuntu1
2018-07-31 00:30:48 status unpacked libss2:amd64 1.42.13-1ubuntu1
2018-07-31 00:30:48 install libsystemd0:amd64 <none> 229-4ubuntu4
2018-07-31 00:30:48 status half-installed libsystemd0:amd64 229-4ubuntu4
2018-07-31 00:30:48 status unpacked libsystemd0:amd64 229-4ubuntu4
2018-07-31 00:30:48 status unpacked libsystemd0:amd64 229-4ubuntu4
2018-07-31 00:30:48 install libtinfo5:amd64 <none> 6.0+20160213-1ubuntu1
2018-07-31 00:30:48 status half-installed libtinfo5:amd64 6.0+20160213-1ubuntu1
2018-07-31 00:30:48 status unpacked libtinfo5:amd64 6.0+20160213-1ubuntu1
2018-07-31 00:30:48 status unpacked libtinfo5:amd64 6.0+20160213-1ubuntu1
2018-07-31 00:30:48 install libudev1:amd64 <none> 229-4ubuntu4
2018-07-31 00:30:48 status half-installed libudev1:amd64 229-4ubuntu4
2018-07-31 00:30:48 status unpacked libudev1:amd64 229-4ubuntu4
2018-07-31 00:30:48 status unpacked libudev1:amd64 229-4ubuntu4
2018-07-31 00:30:48 install libustr-1.0-1:amd64 <none> 1.0.4-5
2018-07-31 00:30:48 status half-installed libustr-1.0-1:amd64 1.0.4-5
2018-07-31 00:30:48 status unpacked libustr-1.0-1:amd64 1.0.4-5
2018-07-31 00:30:48 status unpacked libustr-1.0-1:amd64 1.0.4-5
2018-07-31 00:30:48 install libuuid1:amd64 <none> 2.27.1-6ubuntu3
2018-07-31 00:30:48 status half-installed libuuid1:amd64 2.27.1-6ubuntu3
2018-07-31 00:30:48 status unpacked libuuid1:amd64 2.27.1-6ubuntu3
