team_id,location,time,official_round_1_score,scraped_round_1_score,warned_multi_instances,warned_time,score_delta
08-2412,UT,1:18,19,27,false,false,8
08-1642,UT,1:18,38,46,false,false,8
08-2104,UT,1:18,31,39,false,false,8
08-2413,UT,1:18,42,50,false,false,8
08-1090,VA,5:45,88,96,false,false,8
08-2374,MI,5:41,86,99,false,false,13
08-1919,VA,5:30,177,182,false,false,5
08-1916,VA,5:55,192,180,false,false,-12
08-1510,CAN,3:05,61,69,false,false,8
08-2099,KS,4:49,88,96,false,false,8
08-0136,CA,5:13,135,143,false,false,8
08-2446,CA,5:44,58,66,false,false,8
08-1509,CAN,3:16,56,64,false,false,8
08-0307,HI,5:09,144,152,false,false,8
08-2347,KS,4:36,95,103,false,false,8
08-1512,CAN,4:04,71,79,true,false,8
08-1164,TN,4:41,174,182,false,false,8
08-1091,VA,5:35,144,152,false,false,8
08-1426,AL,4:06,166,174,false,false,8
08-1590,CO,5:33,152,160,false,false,8
08-0390,NM,5:44,181,189,false,false,8
08-0393,NM,5:50,160,168,false,false,8
08-1146,CA,2:47,115,123,false,false,8
08-0391,NM,5:56,180,188,false,false,8
08-0394,NM,5:59,169,182,false,false,13
08-0306,HI,5:59,157,165,false,false,8
08-2055,CA,2:46,92,100,false,false,8
08-0392,NM,5:56,192,200,false,false,8
08-0889,CA,5:13,163,194,false,false,31
08-2244,CA,5:59,94,146,false,false,52
08-2243,CA,6:02,147,171,true,false,24
08-2693,CO,6:02,146,154,false,true,8
08-0389,NM,5:53,181,189,false,false,8
08-1288,CO,6:00,171,179,false,false,8
08-1226,TX,3:49,117,125,false,false,8
08-1701,TN,4:43,136,144,false,false,8
08-1258,CA,3:21,116,124,false,false,8
08-0435,TX,4:56,186,194,true,false,8
08-3047,AZ,6:00,136,144,false,false,8
08-3178,CA,5:45,182,190,false,false,8
08-2103,HI,6:02,151,143,false,true,-8
08-3081,CA,5:46,182,190,false,false,8
08-0437,CA,5:50,174,182,false,false,8
08-2321,CO,2:22,110,118,false,false,8
08-0603,CA,5:58,175,183,false,false,8
08-2322,CO,2:31,59,67,false,false,8
08-0605,CA,5:51,135,148,false,false,13
08-1861,CA,5:46,82,95,false,false,13
08-2320,CO,2:41,34,42,false,false,8
08-2050,CA,1:38,125,133,false,false,8
08-2075,CA,1:38,122,130,false,false,8
08-0604,CA,5:56,192,200,false,false,8
08-2578,CA,5:54,186,194,false,false,8
08-2449,CA,5:27,157,165,false,false,8
08-1007,CA,5:37,165,173,false,false,8
08-2445,CA,3:53,83,91,false,false,8
08-1628,CA,49:14,86,94,false,true,8
08-1578,CA,4:38,164,172,false,false,8
08-3429,CA,3:41,150,158,false,false,8
08-2447,CA,5:12,151,159,false,false,8
08-1071,WA,5:56,192,200,false,false,8
08-2626,NV,6:02,168,176,false,true,8
08-2611,CA,5:07,146,154,false,false,8
08-2581,CA,5:17,148,156,false,false,8
08-2608,CA,5:03,155,163,false,false,8
08-2609,CA,5:03,177,185,false,false,8
08-0897,CA,4:24,153,161,false,false,8
08-2627,NV,5:56,178,186,true,false,8
08-2213,CA,5:50,147,155,false,false,8
08-1634,CA,2:49,108,116,false,false,8
08-2131,CA,5:16,144,152,false,false,8
08-2155,VA,5:53,163,171,false,false,8
08-2702,CA,5:53,162,170,false,false,8
08-2392,TX,5:42,166,174,false,false,8
08-2027,CA,2:48,161,169,false,false,8
08-0625,NY,2:34,65,73,false,false,8
08-2928,CA,5:00,97,105,false,false,8
08-0872,CA,4:19,151,159,false,false,8
08-3289,CA,5:28,105,113,false,false,8
08-1405,CA,2:32,108,116,false,false,8
08-0707,HI,5:10,167,175,false,false,8
08-2451,CA,5:39,156,164,true,false,8
08-0706,HI,5:50,151,159,false,false,8
08-3059,CA,4:29,129,137,false,false,8
08-0717,HI,2:46,86,94,false,false,8
08-2387,TX,5:51,173,181,false,false,8
08-2389,TX,3:05,36,44,false,false,8
08-0122,TX,5:52,180,188,false,false,8
08-2122,AP,5:14,182,190,false,false,8
08-2857,AP,5:56,178,186,false,false,8
08-3386,HI,5:41,128,136,false,false,8
08-2845,NJ,24:44,53,61,false,true,8
08-2860,HI,5:50,83,91,false,false,8
08-0091,HI,5:54,125,133,false,false,8
08-3058,AP,5:24,147,155,false,false,8
08-1552,NM,6:05,176,184,false,true,8
08-3359,CA,1:54,15,23,false,false,8
08-2005,FL,5:26,200,194,false,false,-6
08-2962,VA,5:59,154,182,false,false,28
08-2004,FL,5:58,182,200,false,false,18
08-3210,VA,5:37,148,153,false,false,5
08-0065,CO,4:39,200,184,false,false,-16
08-2957,VA,6:13,146,191,true,false,45
08-2960,VA,5:59,183,162,false,false,-21
08-1718,MI,6:02,192,200,false,true,8
08-0066,CO,5:39,166,200,false,false,34
08-1715,MI,5:35,192,200,false,false,8
08-2006,FL,5:43,177,173,false,false,-4
08-1482,MI,6:01,192,200,false,true,8
08-0518,NY,6:07,162,165,false,true,3
08-1717,MI,5:38,192,200,false,false,8
08-2344,NY,5:56,166,174,false,false,8
08-1716,MI,5:29,192,200,false,false,8
08-2969,VA,6:02,183,191,false,true,8
08-0612,CO,24:19,200,166,false,true,-34
08-2502,IL,5:40,151,159,false,false,8
08-0551,IL,5:59,168,176,true,false,8
08-2863,MD,6:03,81,89,false,true,8
08-0418,SC,6:50,111,119,false,true,8
08-1388,IN,5:46,164,172,false,false,8
08-0869,PA,5:59,117,125,false,false,8
08-2332,VA,5:50,181,189,false,false,8
08-0642,OH,5:34,145,153,false,false,8
08-0643,OH,5:36,153,161,false,false,8
08-2401,VA,5:44,88,96,false,false,8
08-2404,VA,5:46,182,190,false,false,8
08-1390,IN,5:47,161,169,false,false,8
08-1346,TN,6:04,64,72,false,true,8
08-0511,VA,5:37,152,160,false,false,8
08-0202,TN,5:55,65,73,false,false,8
08-2340,VA,3:58,156,164,false,false,8
08-2794,NC,5:31,134,142,false,false,8
08-2734,MN,4:54,127,135,false,false,8
08-2405,VA,5:24,164,172,false,false,8
08-0233,IN,5:44,166,179,false,false,13
08-1492,GA,5:27,113,121,false,false,8
08-1540,VT,4:25,145,153,false,false,8
08-0416,SC,5:40,76,84,false,false,8
08-1461,SC,6:02,121,129,false,true,8
08-0512,VA,5:30,159,167,false,false,8
08-1389,IN,5:38,145,153,false,false,8
08-2796,NC,5:33,156,169,false,false,13
08-0064,CO,3:47,184,200,false,false,16
08-0880,RI,6:04,165,173,false,true,8
08-2325,NC,5:52,143,111,true,false,-32
08-2335,MO,5:54,145,153,false,false,8
08-0415,SC,5:51,171,179,false,false,8
08-2406,RI,5:42,146,154,false,false,8
08-2910,VA,5:58,178,186,false,false,8
08-2076,RI,5:44,166,174,false,false,8
08-2912,VA,5:48,137,145,false,false,8
08-1937,SC,5:45,120,128,false,false,8
08-2911,VA,5:54,182,190,false,false,8
08-2793,NC,5:36,164,172,false,false,8
08-3272,NJ,6:20,69,77,false,true,8
08-0531,NC,5:11,172,180,false,false,8
08-0532,NC,5:31,172,180,false,false,8
08-1633,VT,5:28,133,141,false,false,8
08-3253,NC,5:27,83,91,false,false,8
08-1348,KS,5:03,161,169,false,false,8
08-0950,OK,5:44,139,147,false,false,8
08-1721,OK,5:44,130,138,false,false,8
08-1942,SC,5:47,153,121,true,false,-32
08-0256,FL,4:16,133,101,true,false,-32
08-2678,AL,3:49,109,117,false,false,8
08-0987,TX,5:58,128,136,false,false,8
08-2487,OK,6:05,135,143,false,true,8
08-2200,NC,3:13,122,130,false,false,8
08-2982,NC,3:41,122,130,false,false,8
08-1587,TX,5:55,125,133,false,false,8
08-2841,MD,5:21,170,178,false,false,8
08-0321,KS,5:50,155,163,false,false,8
08-0943,MD,5:47,157,170,false,false,13
08-0039,IN,5:51,174,187,false,false,13
08-1570,MD,5:33,120,128,false,false,8
08-1498,TX,5:46,146,134,false,false,-12
08-2579,SC,3:39,166,174,false,false,8
08-1728,NE,6:00,161,169,false,false,8
08-0042,IN,5:43,126,134,false,false,8
08-3036,MD,5:53,163,171,false,false,8
08-2094,VA,5:44,156,164,false,false,8
08-1037,NJ,6:02,161,169,false,true,8
08-0255,AL,5:51,152,160,false,false,8
08-1311,NY,22:56,165,173,false,true,8
08-1036,NJ,6:02,147,155,false,true,8
08-1084,IN,5:45,148,156,false,false,8
08-2593,MD,5:18,171,179,false,false,8
08-1727,NE,5:59,186,194,false,false,8
08-1593,KS,5:41,141,149,false,false,8
08-1500,TX,6:00,155,143,false,false,-12
08-1278,ME,5:33,166,174,false,false,8
08-2842,MD,4:59,160,168,false,false,8
08-2147,FL,5:58,178,186,false,false,8
08-0482,FL,4:16,122,130,false,false,8
08-0139,FL,5:50,139,147,false,false,8
08-3215,KS,26:41,141,149,false,true,8
08-0320,KS,5:45,154,162,false,false,8
08-1939,SC,5:47,164,172,false,false,8
08-0751,NE,5:52,153,161,false,false,8
08-0319,KS,5:38,178,186,false,false,8
08-0750,NE,5:51,162,170,false,false,8
