team_id,location,time,official_round_1_score,scraped_round_1_score,warned_multi_instances,warned_time,score_delta
08-2470,afjrotc,5:20,126,134,false,false,8
08-1296,njrotc,6:04,105,113,false,true,8
08-1605,cap,5:38,92,100,false,false,8
08-0465,afjrotc,5:25,148,156,false,false,8
08-1961,ajrotc,5:45,113,126,false,false,13
08-2984,mcjrotc,6:00,178,186,false,false,8
08-2190,ajrotc,4:20,91,99,false,false,8
08-2934,mcjrotc,6:03,104,112,false,true,8
08-1133,cap,5:54,108,116,false,false,8
08-1541,cap,6:41,44,27,false,true,-17
08-0856,ajrotc,5:46,130,138,false,false,8
08-0318,cap,2:33,112,120,false,false,8
08-0976,cap,5:57,182,190,false,false,8
08-1960,njrotc,5:33,150,158,false,false,8
08-1912,cap,4:32,142,155,false,false,13
08-2346,ajrotc,5:07,161,169,false,false,8
08-1806,afjrotc,5:13,168,176,false,false,8
08-1507,ajrotc,5:03,161,169,false,false,8
08-2976,afjrotc,5:56,155,163,false,false,8
08-2329,njrotc,2:58,43,51,false,false,8
08-2498,mcjrotc,6:05,104,112,false,true,8
08-2659,afjrotc,5:59,131,144,false,false,13
08-1606,afjrotc,5:58,173,181,false,false,8
08-1992,njrotc,2:52,37,45,false,false,8
08-2206,cap,4:20,71,79,false,false,8
08-2232,cap,4:16,87,95,false,false,8
08-1158,njrotc,6:00,182,190,false,false,8
08-0485,cap,7:48,71,79,false,true,8
08-2624,cap,2:55,76,84,false,false,8
08-1601,afjrotc,6:01,147,178,false,true,31
08-1548,cap,6:00,159,167,false,false,8
08-2859,cap,6:13,58,66,false,true,8
08-0752,ajrotc,3:31,144,152,false,false,8
08-0577,afjrotc,5:42,130,138,false,false,8
08-1085,cap,5:31,146,154,false,false,8
08-1266,njrotc,0:43,5,122,false,false,117
08-1245,afjrotc,6:01,142,146,false,true,4
08-0289,mcjrotc,5:21,172,180,false,false,8
08-1267,njrotc,5:55,164,172,false,false,8
08-2909,cap,6:00,117,125,false,false,8
08-1264,njrotc,5:49,138,146,false,false,8
08-1122,cap,5:59,185,193,false,false,8
08-1322,afjrotc,5:56,163,140,false,false,-23
08-1673,ajrotc,5:28,174,162,false,false,-12
08-2514,afjrotc,5:41,136,144,false,false,8
08-2697,afjrotc,5:40,129,142,false,false,13
08-1324,afjrotc,5:48,132,150,false,false,18
08-3097,cap,5:02,71,79,false,false,8
08-0947,cap,5:19,132,140,false,false,8
08-2444,afjrotc,5:34,131,139,false,false,8
08-0129,ajrotc,4:15,137,145,false,false,8
08-1163,cap,5:59,182,190,false,false,8
08-1240,mcjrotc,5:28,123,131,false,false,8
08-1558,cap,6:05,138,146,false,true,8
08-1350,cap,2:28,61,69,false,false,8
08-0619,cap,3:35,86,94,false,false,8
08-2465,cap,6:03,126,134,false,true,8
08-1355,afjrotc,4:21,108,116,false,false,8
08-3297,afjrotc,4:22,95,83,true,false,-12
08-0028,afjrotc,5:57,131,139,false,false,8
08-1025,cap,6:02,143,151,false,true,8
08-0027,afjrotc,5:57,175,183,false,false,8
08-0653,cap,6:05,145,153,false,true,8
08-0366,nscc,6:00,147,155,false,false,8
08-1228,cap,5:11,122,130,false,false,8
08-2220,afjrotc,1:30,94,102,false,false,8
08-1407,cap,4:28,44,52,false,false,8
08-1194,cap,5:56,128,136,false,false,8
08-1353,afjrotc,6:09,146,154,false,true,8
08-3105,cap,5:55,140,148,false,false,8
